English,Farsi,Source
"Fullscreen
","تمام صفحه
",Ubuntu
"Help
","راهنما
",Ubuntu
"Quit
","خروج
",Ubuntu
"Select Game
","انتخاب بازی
",Ubuntu
"_Select
","_انتخاب
",Ubuntu
"_Contents
","م_حتویات
",Ubuntu
"_Fullscreen
","تمام _صفحه
",Ubuntu
"_Hint
","_راهنمایی_New"" is for the menu item 'Game->New', implies ""New Game
",Ubuntu
"_New
","_جدید_New Game
",Ubuntu
"_New Game
","بازی _جدید
",Ubuntu
"_Redo Move
","ا_نجام مجدد حرکتReset
",Ubuntu
"_Reset
","_راه‌اندازی مجدد_Restart"" is the menu item 'Game->Restart', implies ""Restart Game
",Ubuntu
"_Restart
","_شروع مجدد
",Ubuntu
"_Undo Move
","_برگردان حرکت
",Ubuntu
"_Deal
","_معامله
",Ubuntu
"_Leave Fullscreen
","تر_ک حالت تمام‌صفحه
",Ubuntu
"_Pause
","_مکث
",Ubuntu
"%s is free software; you can redistribute it and/or modify it under the terms of the GNU General Public License as published by the Free Software Foundation; either version %d of the License, or (at your option) any later version.
","%s نرم‌افزار آزاد است؛ شما می‌توانید آن را تحت شرایط اجازه‌نامه‌ی همگانی عمومی گنو که بنیاد نرم‌افزارهای آزاد منتشر کرده است،‌ تغییر دهید یا دوباره توزیع کنید. یا نسخه‌ی %d اجازه‌نامه یا (به اختیار خودتان) هر نسخه‌ی بالاتر دیگری.
",Ubuntu
"%s is distributed in the hope that it will be useful, but WITHOUT ANY WARRANTY; without even the implied warranty of MERCHANTABILITY or FITNESS FOR A PARTICULAR PURPOSE. See the GNU General Public License for more details.
","%s با این امید توزیع شده است که به درد بخور باشد، اما بدون هر گونه ضمانتی؛ حتی بدون ضمانت ضمنی قابل فروش بودن یا مناسب بودن برای یک هدف مشخص. برای جزئیات بیشتر به اجازه‌نامه‌ی همگانی عمومی گنو را ببینید.
",Ubuntu
"You should have received a copy of the GNU General Public License along with this program. If not, see .
","شما باید به همراه ناتیلوس نسخه‌ای از اجازه‌نامه‌ی همگانی عمومی گنو دریافت کرده باشد؛ اگر این طور نیست برای شرکت بنیاد نرم افزارهای آزاد به آدرس زیر بنویسید:Inc., 51 Franklin Street, Fifth Floor, Boston, MA 02110-1301 USAslot type
",Ubuntu
"foundation
","پایهslot type
",Ubuntu
"reserve
","ذخیرهslot type
",Ubuntu
"stock
","موجودیslot type
",Ubuntu
"tableau
","تابلوslot type
",Ubuntu
"waste
","باقی‌ماندهfoundationslot hint
",Ubuntu
"%s on foundation
","%s در پایهreserveslot hint
",Ubuntu
"%s on reserve
","%s در ذخیرهstockslot hint
",Ubuntu
"%s on stock
","%s در موجودیtableauslot hint
",Ubuntu
"%s on tableau
","%s در تابلوwasteslot hint
",Ubuntu
"%s on waste
","%s در باقی‌مانده
",Ubuntu
"This game does not have hint support yet.
","این بازی هنوز پشتیبانی راهنمایی ندارد.
",Ubuntu
"Move %s onto %s.
","حرکت %s به %s.
",Ubuntu
"This game is unable to provide a hint.
","این بازی قادر به ارائه‌ی راهنمایی نیست.
",Ubuntu
"Accordion
","آکاردئون
",Ubuntu
"Agnes
","اَگنِس
",Ubuntu
"Athena
","آتنا
",Ubuntu
"Auld Lang Syne
","اولد لَنگ سین
",Ubuntu
"Aunt Mary
","عمه ماری
",Ubuntu
"Backbone
","بَک بُن
",Ubuntu
"Bakers Dozen
","دوجین بِیکر
",Ubuntu
"Bakers Game
","بازی بِیکر
",Ubuntu
"Bear River
","رودخانه خرس
",Ubuntu
"Beleaguered Castle
","قلعه‌ی محاصره شده
",Ubuntu
"Block Ten
","بلوک ده
",Ubuntu
"Bristol
","بریستول
",Ubuntu
"Camelot
","کَمِلات
",Ubuntu
"Canfield
","کَنفیلد
",Ubuntu
"Carpet
","فرش
",Ubuntu
"Chessboard
","صفحه شطرنج
",Ubuntu
"Clock
","ساعت
",Ubuntu
"Cover
","جانشین
",Ubuntu
"Cruel
","خبیس
",Ubuntu
"Diamond Mine
","معدن الماس
",Ubuntu
"Doublets
","دوبله
",Ubuntu
"Eagle Wing
","بال عقاب
",Ubuntu
"Easthaven
","بندر شرق
",Ubuntu
"Eight Off
","هشت خاموش
",Ubuntu
"Elevator
","آسانسور
",Ubuntu
"Eliminator
","نابودگر
",Ubuntu
"Escalator
","بالابر
",Ubuntu
"First Law
","قانون اول
",Ubuntu
"Fortress
","دژ
",Ubuntu
"Fortunes
","طالع
",Ubuntu
"Forty Thieves
","چهل دزد
",Ubuntu
"Fourteen
","چهارده
",Ubuntu
"Freecell
","فری سِل
",Ubuntu
"Gaps
","شکاف
",Ubuntu
"Gay Gordons
","گِی گوردن
",Ubuntu
"Giant
","غول
",Ubuntu
"Glenwood
","گلِن‌وود
",Ubuntu
"Gold Mine
","معدن طلا
",Ubuntu
"Golf
","گلف
",Ubuntu
"Gypsy
","کولی
",Ubuntu
"Helsinki
","هلسینکی
",Ubuntu
"Hopscotch
","هاپ‌اسکاچ
",Ubuntu
"Isabel
","ایزابل
",Ubuntu
"Jamestown
","جیمز‌تاون
",Ubuntu
"Jumbo
","جامبو
",Ubuntu
"Kansas
","کانزاس
",Ubuntu
"King Albert
","شاه آلبرت
",Ubuntu
"Kings Audience
","شنوندگان شاه
",Ubuntu
"Klondike
","کلاندایک
",Ubuntu
"Klondike Three Decks
","کلاندایک سه دست
",Ubuntu
"Labyrinth
","کلاف سر در گم
",Ubuntu
"Lady Jane
","بانو جِین
",Ubuntu
"Maze
","ماز
",Ubuntu
"Monte Carlo
","مونت کارلو
",Ubuntu
"Napoleons Tomb
","قبر ناپلئون
",Ubuntu
"Neighbor
","همسایه
",Ubuntu
"Odessa
","اُدسا
",Ubuntu
"Osmosis
","اُسمز
",Ubuntu
"Peek
","دید زدن
",Ubuntu
"Pileon
","دسته کردن
",Ubuntu
"Plait
","بافتن
",Ubuntu
"Poker
","پوکر
",Ubuntu
"Quatorze
","کوئاتورز
",Ubuntu
"Royal East
","شرق باشکوه
",Ubuntu
"Saratoga
","ساراتوگا
",Ubuntu
"Scorpion
","عقرب
",Ubuntu
"Scuffle
","اسکافل
",Ubuntu
"Seahaven
","بندر دریا
",Ubuntu
"Sir Tommy
","آقای تامی
",Ubuntu
"Sol
","خورشید
",Ubuntu
"Spider
","عنکبوت
",Ubuntu
"Spider Three Decks
","عنکبوت سه دست
",Ubuntu
"Spiderette
","اسپایدرت
",Ubuntu
"Straight Up
","مستقیم بالا
",Ubuntu
"Streets And Alleys
","خیابان‌ها و کوچه‌ها
",Ubuntu
"Template
","شابلون
",Ubuntu
"Ten Across
","ده در عرض
",Ubuntu
"Terrace
","تراس
",Ubuntu
"Thieves
","دزدها
",Ubuntu
"Thirteen
","سیزده
",Ubuntu
"Thumb And Pouch
","شصت و کیسه
",Ubuntu
"Treize
","تریز
",Ubuntu
"Triple Peaks
","پیک‌های سه‌گانه
",Ubuntu
"Union Square
","میدان اتحاد
",Ubuntu
"Valentine
","ولنتاین
",Ubuntu
"Westhaven
","بندر غرب
",Ubuntu
"Whitehead
","سر سفید
",Ubuntu
"Will O The Wisp
","Will O The Wisp
",Ubuntu
"Yield
","ییلد
",Ubuntu
"Yukon
","یوکان
",Ubuntu
"Zebra
","گورخرcard symbol
",Ubuntu
"JOKER
","ژوکرcard symbol
",Ubuntu
"A
","آcard symbol
",Ubuntu
"2
","۲card symbol
",Ubuntu
"3
","۳card symbol
",Ubuntu
"4
","۴card symbol
",Ubuntu
"5
","۵card symbol
",Ubuntu
"6
","۶card symbol
",Ubuntu
"7
","۷card symbol
",Ubuntu
"8
","۸card symbol
",Ubuntu
"9
","۹card symbol
",Ubuntu
"J
","سcard symbol
",Ubuntu
"Q
","بcard symbol
",Ubuntu
"K
","شcard symbol
",Ubuntu
"1
","۱
",Ubuntu
"ace of clubs
","آس خاج
",Ubuntu
"two of clubs
","دو خاج
",Ubuntu
"three of clubs
","سه خاج
",Ubuntu
"four of clubs
","چهار خاج
",Ubuntu
"five of clubs
","پنج خاج
",Ubuntu
"six of clubs
","شش خاج
",Ubuntu
"seven of clubs
","هفت خاج
",Ubuntu
"eight of clubs
","هشت خاج
",Ubuntu
"nine of clubs
","نه خاج
",Ubuntu
"ten of clubs
","ده خاج
",Ubuntu
"jack of clubs
","سرباز خاج
",Ubuntu
"queen of clubs
","بی‌بی خاج
",Ubuntu
"king of clubs
","شاه خاج
",Ubuntu
"ace of diamonds
","آس خشت
",Ubuntu
"two of diamonds
","دو خشت
",Ubuntu
"three of diamonds
","سه خشت
",Ubuntu
"four of diamonds
","چهار خشت
",Ubuntu
"five of diamonds
","پنج خشت
",Ubuntu
"six of diamonds
","شش خشت
",Ubuntu
"seven of diamonds
","هفت خشت
",Ubuntu
"eight of diamonds
","هشت خشت
",Ubuntu
"nine of diamonds
","نه خشت
",Ubuntu
"ten of diamonds
","ده خشت
",Ubuntu
"jack of diamonds
","سرباز خشت
",Ubuntu
"queen of diamonds
","بی‌بی خشت
",Ubuntu
"king of diamonds
","شاه خشت
",Ubuntu
"ace of hearts
","آس دل
",Ubuntu
"two of hearts
","دو دل
",Ubuntu
"three of hearts
","سه دل
",Ubuntu
"four of hearts
","چهار دل
",Ubuntu
"five of hearts
","پنج دل
",Ubuntu
"six of hearts
","شش دل
",Ubuntu
"seven of hearts
","هفت دل
",Ubuntu
"eight of hearts
","هشت دل
",Ubuntu
"nine of hearts
","نه دل
",Ubuntu
"ten of hearts
","ده دل
",Ubuntu
"jack of hearts
","سرباز دل
",Ubuntu
"queen of hearts
","بی‌بی دل
",Ubuntu
"king of hearts
","شاه دل
",Ubuntu
"ace of spades
","آس پیک
",Ubuntu
"two of spades
","دو پیک
",Ubuntu
"three of spades
","سه پیک
",Ubuntu
"four of spades
","چهار پیک
",Ubuntu
"five of spades
","پنج پیک
",Ubuntu
"six of spades
","شش پیک
",Ubuntu
"seven of spades
","هفت پیک
",Ubuntu
"eight of spades
","هشت پیک
",Ubuntu
"nine of spades
","نه پیک
",Ubuntu
"ten of spades
","ده پیک
",Ubuntu
"jack of spades
","سرباز پیک
",Ubuntu
"queen of spades
","بی‌بی پیک
",Ubuntu
"king of spades
","شاه پیک
",Ubuntu
"face-down card
","کارت نامعلوم
",Ubuntu
"black joker
","ژوکر سیاه
",Ubuntu
"red joker
","ژوکر قرمز
",Ubuntu
"Help file “%s.%s” not found
","پرونده راهنما «%s.%s» پیدا نشد
",Ubuntu
"Could not show help for “%s”
","نمی‌توان راهنما را برای «%s» نمایش داد
",Ubuntu
"Whether the window is maximized
","اینکه آیا پنجره بیشینه است یا خیر
",Ubuntu
"Whether the window is fullscreen
","اینکه آیا پنجره تمام‌صفحه است یا خیر
",Ubuntu
"Window width
","عرض پنجره
",Ubuntu
"Window height
","ارتفاع پنجره
",Ubuntu
"Solitaire
","بازی یک نفره
",Ubuntu
"GNOME Solitaire
","بازی یک نفره گنوم
",Ubuntu
"About Solitaire
","درباره بازی یک نفره
",Ubuntu
"Select the game type to play
","یک نوع بازی برای بازی‌کردن انتخاب کنید
",Ubuntu
"NAME
","نام
",Ubuntu
"FreeCell Solitaire
","بازی یک نفره‌ی فری‌سل
",Ubuntu
"AisleRiot
","اِیل‌رایِت
",Ubuntu
"Wins:
","بردها
",Ubuntu
"Total:
","مجموع
",Ubuntu
"Percentage:
","درصد:
",Ubuntu
"Wins
","بردها
",Ubuntu
"Best:
","بهترین:
",Ubuntu
"Worst:
","بدترین:
",Ubuntu
"Time
","زمان%Id%d
",Ubuntu
"%d
","%Id%d"" in this string this to ""%Id%d%d%%%%%"" (U+0025 PERCENT SIGN) you do NOT need to escape it with another ""%
",Ubuntu
"%d%%
","٪%IdNot Applicable
",Ubuntu
"N/A
","مربوط نیست
",Ubuntu
"%d:%02d
","%Id:%I02d
",Ubuntu
"Congratulations, you have won!
","تبریک، شما بردید!
",Ubuntu
"There are no more moves
","دیگر نمی‌شود حرکتی کرد
",Ubuntu
"Main game:
","بازی اصلی:
",Ubuntu
"Card games:
","بازی‌های کارتی:
",Ubuntu
"Card themes:
","تم‌های کارت:
",Ubuntu
"About AisleRiot
","درباره اِیل‌رایِت
",Ubuntu
"AisleRiot provides a rule-based solitaire card engine that allows many different games to be played.
","اِیل‌رایِت یک موتور قانونی برای کارت بازی یک نفره ارائه می‌کند که انجام بازی‌های متفاوتی را ممکن می‌سازد.
",Ubuntu
"translator-credits
","آرش موسوی <mousavi\.arash\@gmail\.com> روزبه پورنادر <roozbeh\@farsiweb\.info> بهداد پورنادر <behdad\.p\@gmail\.com> الناز سربر <elnaz\@farsiweb\.info> میلاد زکریا <meelad\@farsiweb\.info> Launchpad Contributions: Arash https://launchpad.net/~mousavi-arash Farzaneh Sarafraz https://launchpad.net/~farzaneh-farsiweb
",Ubuntu
"GNOME Games web site
","پایگاه وب بازی‌های گنوم
",Ubuntu
"Play “%s”
","بازی کردن «%s»
",Ubuntu
"Display cards with “%s” card theme
","نمایش کارت‌ها با تم «%s»
",Ubuntu
"A scheme exception occurred
","یک استثنا شِما رُخ داد.
",Ubuntu
"Please report this bug to the developers.
","لطفا این اشکال را به توسعه‌دهندگان اطلاع دهید.
",Ubuntu
"_Don't report
","_گزارش نکن
",Ubuntu
"_Report
","_گزارش
",Ubuntu
"_Game
","_بازی
",Ubuntu
"_View
","_نما
",Ubuntu
"_Control
","_کنترل
",Ubuntu
"_Help
","_راهنما
",Ubuntu
"Start a new game
","شروع بازی جدید
",Ubuntu
"Restart the game
","شروع مجدد بازی
",Ubuntu
"_Select Game…
","_انتخاب بازی
",Ubuntu
"Play a different game
","انجام یک بازی دیگر
",Ubuntu
"_Recently Played
","_به‌تازگی بازی شده
",Ubuntu
"S_tatistics
","آ_مار
",Ubuntu
"Show gameplay statistics
","نمایش آمار بازی
",Ubuntu
"Close this window
","بستن این پنجره
",Ubuntu
"Undo the last move
","برگرداندن آخرین حرکت
",Ubuntu
"Redo the undone move
","دوباره‌ی حرکت برگردان
",Ubuntu
"Deal next card or cards
","معامله کارت یا کارت‌های بعدی
",Ubuntu
"Get a hint for your next move
","گرفتن راهنمایی برای حرکت بعدی‌تان
",Ubuntu
"View help for Aisleriot
","نمایش راهنمای اِیل‌رایِت
",Ubuntu
"View help for this game
","نمایش راهنمای این بازی
",Ubuntu
"About this game
","درباره‌ی این بازی
",Ubuntu
"Install card themes…
","نصب تم کارت‌ها...
",Ubuntu
"Install new card themes from the distribution packages repositories
","از مخازن بسته‌های توزیع برای نصب تم‌های جدید کارت استفاده کنید
",Ubuntu
"_Card Style
","_سبک کارت
",Ubuntu
"_Toolbar
","ن_وار ابزار
",Ubuntu
"Show or hide the toolbar
","نشان دادن یا مخفی کردن نوار ابزار
",Ubuntu
"_Statusbar
","_نوار وضعیت
",Ubuntu
"Show or hide statusbar
","نمایش یا مخفی کردن نواروضعیت
",Ubuntu
"_Click to Move
","برای _حرکت جابه‌‌جایی کلیک کنید
",Ubuntu
"Pick up and drop cards by clicking
","با کلیک کردن کارت‌ها را بکشید و بردارید
",Ubuntu
"_Sound
","_صدا
",Ubuntu
"Whether or not to play event sounds
","این که صدای رویدادها پخش شود یا نه
",Ubuntu
"_Animations
","_پویانمایی‌ها
",Ubuntu
"Whether or not to animate card moves
","این که حرکت‌های کارت‌ها پویانمایی شود یا خیر
",Ubuntu
"Score:
","امتیاز:
",Ubuntu
"Time:
","زمان:
",Ubuntu
"Cannot start the game “%s”
","نمی‌توان بازی «%s» را شروع کردن
",Ubuntu
"Aisleriot cannot find the last game you played.
","نمی‌توان آخرین بازی انجام شده را پیدا کرد.
",Ubuntu
"This usually occurs when you run an older version of Aisleriot which does not have the game you last played. The default game, Klondike, is being started instead.
","این اتفاق غالبا زمانی رُخ می‌دهد که شما از نسخه‌ی قدیمی اِیل‌رایِت استفاده می‌کند و بازی‌ای که آخرین بار آن را انجام داده‌اید در آن نبوده. بازی پیش‌فرض، کلاندایک، به جای آن شروع می‌شود.
",Ubuntu
"Base Card: ~a
","کارت پایه: ~a
",Ubuntu
"Base Card: Ace
","کارت پایه: آس
",Ubuntu
"Base Card: Jack
","کارت پایه: سرباز
",Ubuntu
"Base Card: Queen
","کارت پایه: بی‌بی
",Ubuntu
"Base Card: King
","کارت پایه: شاه
",Ubuntu
"Stock left:
","موجودی باقی‌مانده:
",Ubuntu
"Stock left: 0
","موجودی باقی‌مانده: ۰
",Ubuntu
"Deal more cards
","پخش کارت‌های بیشتر
",Ubuntu
"Try rearranging the cards
","بازآرایی کارت‌ها را امتحان کنید.
",Ubuntu
"Unknown color
","رنگ نامعلوم
",Ubuntu
"the black joker
","ژوکر سیاه
",Ubuntu
"the red joker
","ژوکر قرمز
",Ubuntu
"the ace of clubs
","آس خاج
",Ubuntu
"the two of clubs
","دو خاج
",Ubuntu
"the three of clubs
","سه خاج
",Ubuntu
"the four of clubs
","چهار خاج
",Ubuntu
"the five of clubs
","پنج خاج
",Ubuntu
"the six of clubs
","شش خاج
",Ubuntu
"the seven of clubs
","هفت خاج
",Ubuntu
"the eight of clubs
","هشت خاج
",Ubuntu
"the nine of clubs
","نه خاج
",Ubuntu
"the ten of clubs
","ده خاج
",Ubuntu
"the jack of clubs
","سرباز خاج
",Ubuntu
"the queen of clubs
","بی‌بی خاج
",Ubuntu
"the king of clubs
","شاه خاج
",Ubuntu
"the unknown card
","کارت نامعلوم
",Ubuntu
"the ace of spades
","آس پیک
",Ubuntu
"the two of spades
","دو پیک
",Ubuntu
"the three of spades
","سه پیک
",Ubuntu
"the four of spades
","چهار پیک
",Ubuntu
"the five of spades
","پنج پیک
",Ubuntu
"the six of spades
","شش پیک
",Ubuntu
"the seven of spades
","هفت پیک
",Ubuntu
"the eight of spades
","هشت پیک
",Ubuntu
"the nine of spades
","نه پیک
",Ubuntu
"the ten of spades
","ده پیک
",Ubuntu
"the jack of spades
","سرباز پیک
",Ubuntu
"the queen of spades
","بی‌بی پیک
",Ubuntu
"the king of spades
","شاه پیک
",Ubuntu
"the ace of hearts
","آس دل
",Ubuntu
"the two of hearts
","دو دل
",Ubuntu
"the three of hearts
","سه دل
",Ubuntu
"the four of hearts
","چهار دل
",Ubuntu
"the five of hearts
","پنج دل
",Ubuntu
"the six of hearts
","شش دل
",Ubuntu
"the seven of hearts
","هفت دل
",Ubuntu
"the eight of hearts
","هشت دل
",Ubuntu
"the nine of hearts
","نه دل
",Ubuntu
"the ten of hearts
","ده دل
",Ubuntu
"the jack of hearts
","سرباز دل
",Ubuntu
"the queen of hearts
","بی‌بی دل
",Ubuntu
"the king of hearts
","شاه دل
",Ubuntu
"the ace of diamonds
","آس خشت
",Ubuntu
"the two of diamonds
","دو خشت
",Ubuntu
"the three of diamonds
","سه خشت
",Ubuntu
"the four of diamonds
","چهار خشت
",Ubuntu
"the five of diamonds
","پنج خشت
",Ubuntu
"the six of diamonds
","شش خشت
",Ubuntu
"the seven of diamonds
","هفت خشت
",Ubuntu
"the eight of diamonds
","هشت خشت
",Ubuntu
"the nine of diamonds
","نه خشت
",Ubuntu
"the ten of diamonds
","ده خشت
",Ubuntu
"the jack of diamonds
","سرباز خشت
",Ubuntu
"the queen of diamonds
","بی‌بی خشت
",Ubuntu
"the king of diamonds
","شاه خشت
",Ubuntu
"Move ~a onto the foundation.
","انتقال ~a به پایه
",Ubuntu
"Move ~a onto an empty foundation slot.
","انتقال ~a به یک پایه‌ی خالی.
",Ubuntu
"Move ~a onto the tableau.
","انتقال ~a بر روی تابلو.
",Ubuntu
"Move ~a onto an empty tableau slot.
","انتقال ~a بر روی یک خانه خالی تابلو.
",Ubuntu
"Move ~a onto the reserve.
","انتقال ~a بر روی ذخیره.
",Ubuntu
"Move ~a onto an empty reserve slot.
","جابه‌جایی ~a به یک جایگاه ذخیره خالی.
",Ubuntu
"Move ~a onto an empty edge slot.
","جابه‌جایی ~a به یک جایگاه زاویه‌ای خالی.
",Ubuntu
"Move ~a onto an empty corner slot.
","جابه‌جایی ~a به یک جایگاه گوشه خالی.
",Ubuntu
"Move ~a onto an empty top slot.
","جابه‌جایی ~a به یک جایگاه بالایی خالی.
",Ubuntu
"Move ~a onto an empty bottom slot.
","جابه‌جایی ~a به یک جایگاه پایینی خالی.
",Ubuntu
"Move ~a onto an empty left slot.
","جابه‌جایی ~a به یک جایگاه چپ خالی.
",Ubuntu
"Move ~a onto an empty right slot.
","جابه‌جایی ~a به یک جایگاه راست خالی.
",Ubuntu
"Move ~a onto an empty slot.
","انتقال ~a بر روی یک خانه خالی.
",Ubuntu
"Move ~a onto the black joker.
","انتقال ~a بر روی ژوکر سیاه.
",Ubuntu
"Move ~a onto the red joker.
","انتقال ~a بر روی ژوکر قرمز.
",Ubuntu
"Move ~a onto the ace of clubs.
","انتقال ~a بر روی آس خاج.
",Ubuntu
"Move ~a onto the two of clubs.
","انتقال ~a بر روی دو خاج.
",Ubuntu
"Move ~a onto the three of clubs.
","انتقال ~a بر روی سه خاج.
",Ubuntu
"Move ~a onto the four of clubs.
","انتقال ~a بر روی چهار خاج.
",Ubuntu
"Move ~a onto the five of clubs.
","انتقال ~a بر روی پنج خاج.
",Ubuntu
"Move ~a onto the six of clubs.
","انتقال ~a بر روی شش خاج.
",Ubuntu
"Move ~a onto the seven of clubs.
","انتقال ~a بر روی هفت خاج.
",Ubuntu
"Move ~a onto the eight of clubs.
","انتقال ~a بر روی هشت خاج.
",Ubuntu
"Move ~a onto the nine of clubs.
","انتقال ~a بر روی نه خاج.
",Ubuntu
"Move ~a onto the ten of clubs.
","انتقال ~a بر روی ده خاج.
",Ubuntu
"Move ~a onto the jack of clubs.
","انتقال ~a بر روی سرباز خاج.
",Ubuntu
"Move ~a onto the queen of clubs.
","انتقال ~a بر روی بی‌بی خاج.
",Ubuntu
"Move ~a onto the king of clubs.
","انتقال ~a بر روی شاه خاج.
",Ubuntu
"Move ~a onto the unknown card.
","انتقال ~a بر روی کارت ناشناس.
",Ubuntu
"Move ~a onto the ace of spades.
","انتقال ~a بر روی آس پیک.
",Ubuntu
"Move ~a onto the two of spades.
","انتقال ~a بر روی دو پیک.
",Ubuntu
"Move ~a onto the three of spades.
","انتقال ~a بر روی سه پیک.
",Ubuntu
"Move ~a onto the four of spades.
","انتقال ~a بر روی چهار پیک.
",Ubuntu
"Move ~a onto the five of spades.
","انتقال ~a بر روی پنج پیک.
",Ubuntu
"Move ~a onto the six of spades.
","انتقال ~a بر روی شش پیک.
",Ubuntu
"Move ~a onto the seven of spades.
","انتقال ~a بر روی هفت پیک.
",Ubuntu
"Move ~a onto the eight of spades.
","انتقال ~a بر روی هشت پیک.
",Ubuntu
"Move ~a onto the nine of spades.
","انتقال ~a بر روی نه پیک.
",Ubuntu
"Move ~a onto the ten of spades.
","انتقال ~a بر روی ده پیک.
",Ubuntu
"Move ~a onto the jack of spades.
","انتقال ~a بر روی سرباز پیک.
",Ubuntu
"Move ~a onto the queen of spades.
","انتقال ~a بر روی بی‌بی پیک.
",Ubuntu
"Move ~a onto the king of spades.
","انتقال ~a بر روی شاه پیک.
",Ubuntu
"Move ~a onto the ace of hearts.
","انتقال ~a بر روی آس دل.
",Ubuntu
"Move ~a onto the two of hearts.
","انتقال ~a بر روی دو دل.
",Ubuntu
"Move ~a onto the three of hearts.
","انتقال ~a بر روی سه دل.
",Ubuntu
"Move ~a onto the four of hearts.
","انتقال ~a بر روی چهار دل.
",Ubuntu
"Move ~a onto the five of hearts.
","انتقال ~a بر روی پنج دل.
",Ubuntu
"Move ~a onto the six of hearts.
","انتقال ~a بر روی شش دل.
",Ubuntu
"Move ~a onto the seven of hearts.
","انتقال ~a بر روی هفت دل.
",Ubuntu
"Move ~a onto the eight of hearts.
","انتقال ~a بر روی هشت دل.
",Ubuntu
"Move ~a onto the nine of hearts.
","انتقال ~a بر روی نه دل.
",Ubuntu
"Move ~a onto the ten of hearts.
","انتقال ~a بر روی ده دل.
",Ubuntu
"Move ~a onto the jack of hearts.
","انتقال ~a بر روی سرباز دل.
",Ubuntu
"Move ~a onto the queen of hearts.
","انتقال ~a بر روی بی‌بی دل.
",Ubuntu
"Move ~a onto the king of hearts.
","انتقال ~a بر روی شاه دل.
",Ubuntu
"Move ~a onto the ace of diamonds.
","انتقال ~a بر روی آس خشت.
",Ubuntu
"Move ~a onto the two of diamonds.
","انتقال ~a بر روی دو خشت.
",Ubuntu
"Move ~a onto the three of diamonds.
","انتقال ~a بر روی سه خشت.
",Ubuntu
"Move ~a onto the four of diamonds.
","انتقال ~a بر روی چهار خشت.
",Ubuntu
"Move ~a onto the five of diamonds.
","انتقال ~a بر روی پنج خشت.
",Ubuntu
"Move ~a onto the six of diamonds.
","انتقال ~a بر روی شش خشت.
",Ubuntu
"Move ~a onto the seven of diamonds.
","انتقال ~a بر روی هفت خشت.
",Ubuntu
"Move ~a onto the eight of diamonds.
","انتقال ~a بر روی هشت خشت.
",Ubuntu
"Move ~a onto the nine of diamonds.
","انتقال ~a بر روی نه خشت.
",Ubuntu
"Move ~a onto the ten of diamonds.
","انتقال ~a بر روی ده خشت.
",Ubuntu
"Move ~a onto the jack of diamonds.
","انتقال ~a بر روی سرباز خشت.
",Ubuntu
"Move ~a onto the queen of diamonds.
","انتقال ~a بر روی بی‌بی خشت.
",Ubuntu
