English,Persian,Source
turku is also a very multicultural city and some 14000 of its inhabitants speak something other than finnish or swedish as their mother tongue,تورکوهمچنین یک شهربا هویت چند فرهنگی بسیارقوی میباشد وزبان مادری حدود 14 000 نفرازساکنین این شهرزبانهای دیگری غیرازفنلاندی وسوﺌدی میباشد,infopankki
there are 130 different nationalities living in turku,درشهرتورکو ساکنینی از130 ملیت متفاوت زندگی میکنند,infopankki
the biggest ethnic groups in turku are russian estonian iraqi iranian somali and swedish communities,بزرگترین گروه های ملی غیرفنلاندی درشهرتورکوعبارتند از روسها استونیایی ها عراقی ها ایرانیان سومالی ها وسوﺌدی ها,infopankki
swedish english,اطلاعات تورکو فنلاندی سویدی انگلیسی,infopankki
history of turku,تاریخچۂ شهرتورکو,infopankki
the city of turku was born already in the 13th century in the place where the river aura runs to the sea many consider that the history of the city begins with a letter in which pope gregory ix gave the permission to move the bishopric to what we nowadays know as turku,بنای شهرتورکودراوایل قرن 12 میلادی ودرمحلی که رودخانۂ اﺌورا به دریا ختم میشد گذاشته شد تاریخچۂ این شهررا عمومٲ اززمانی شروع میکنند که پاپ اعظم گریگوریوس نهم درنامه ای اجازه داد تا مسند یا صندلی اسقفی به منطقۂ تورکوانتقال داده شود,infopankki
turku was the biggest city of finland and it was also one of the largest and most important medieval cities of the whole swedish kingdom,تورکودران زمان بزرگترین شهرقرون وسطایی فنلاند ویکی از بزرگترین ومهمترین شهرهای امپراطوری سوﺌد بوده است,infopankki
the word turku comes from turgu a word in ancient russian which means market place ie tori in finnish,کلمۂ تورکو ازیک کلمۂ باستانی روسی ریشه گرفته است که بمعنای میدان خرید وفروش کالا میباشد,infopankki
thanks to the good transport connections many people and specially merchants moved to turku,بخاطرموجود بودن امکانات ارتباطی خوب با این شهر افراد زیادی ازجمله تاجران وکاسبکاران برای سکونت وکسب وکاربه این شهرمهاجرت کردند,infopankki
little by little the city grew bigger and became wealthier,بدین ترتیب این شهربتدریج گسترش یافته وثروتمندترشد,infopankki
in those days the city centre was located around the turku cathedral,مرکزشهرتورکودراطراف کلیسای جامع شهربنیان نهاده شد,infopankki
most houses and buildings were built from wood and therefore there were also many fires,اکثربناهای شهربا چوب بنا شده بودند وبدین سبب هم اتش سوزیهای متعددی بوقوع می پیوست,infopankki
the turku castle which was located near the city was one of the most important strongholds of secular power on finnish soil,قلعۂ تورکو که درمنطقه ای نزدیک به شهرتورکوقرارداشت یکی ازمهمترین مقرهای حمایتی حکومت درمنطقۂ فنلاند بشمار می امد,infopankki
despite the cover given by the castle the city ended up being the main stage for many wars in the middle ages,علیرغم پوشش حمایتی حفاظی این قلعه شهرتورکو درقرون وسطا بارها صحنۂ جنگهای ویرانگری بوده است,infopankki
the importance of turku as a stronghold of the swedish empire in the east was highlighted in the 17th century by the founding of several schools and administrative institutions,زمانی که دردهه های اول قرن 16 مدارس اموزشی وادارات متعددی درانجا ساخته شد موقعیت شهرتورکوبمثابه مرکزقدرت شرقی امپراطوری سوﺌد بیش ازپیش تقویت شد,infopankki
for example the provincial governement was established in turku in 1617 and finlands first court of appeal the turun hovioikeus was founded in 1623,درسال 1617 بنای اداری حکومتی استان درشهرتورکوتٲسیس شده واولین دادگاه تجدید نظریااستیناف فنلاند هم درسال 1623 دران شهربنا نهاده شد,infopankki
in 1640 the queen of sweden ordered the first university in finland the royal academy of turku to be established in turku,درسال 1640 ملکۂ سوﺌد فرمان داد تا اولین دانشگاه فنلاند بنام اکادمی تورکو دراین شهربنا گردد,infopankki
in the years 18081809 sweden and russia fought a war as a result of which finland was ceded to russia,به تبع جنگی که درسالهای 1808 الی 1809 بین سوﺌد وروس درگرفت منطقۂ فنلاند تحت قیمومیت وتابعیت کشورروسیه درامد,infopankki
thus the russian emperor became the ruler of finland and finns became russian citizens,ازاین به بعد این تسارروس بود که فرمانروای فنلاند گشته وفنلاندی ها به شهروندان تابع کشورروسیه تبدیل شدند,infopankki
in 1809 turku became the capital of an autonomous finland and the central government of the grand duchy was placed in the city,درسال 1809 شهرتورکو به عنوان مرکز اداری حکومتی قلمروی دوک بزرگ درامده وبه پایتختی حکومت خود مختارفنلاند تبدیل شد,infopankki
because of its historical status there were already important offices in turku,البته بخاطرموقعیت تاریخی شهرتورکودراین شهرازسالهای قبل هم ادارات مهمی بنا نهاده شده بودند,infopankki
however the capital was soon moved to helsinki in 1812 because emperor alexander i felt that turku was too aligned with sweden and too close to the former mother country,به هرحال ازانجایی که بنظرتزارروسیه الکساندریکم ساکنین ومقامات شهرتورکوتمایلات سوﺌدی داشته وازنظرجغرافیایی هم این شهر خیلی نزدیک به کشورسوﺌد بود پایتختی حکومت خود مختارفنلاند را درسال 1812 به شهرهلسینکی انتقال دادند,infopankki
except for the seat of the archbishop all the other institutions of central government and the royal academy of turku were moved to the new capital after the great fire of turku in 1827,بعدازحریق بزرگی که بسال 1827 درشهرتورکو اتفاق افتاد به غیرازمسند اسقف اعظم تمامی ارگانهای اداری حکومت مرکزی وهمچنین تشکیلات اکادمی تورکوبه پایتخت جدید انتقال داده شدند,infopankki
after the great fire which was the most disastrous in the history of nordic countries the new city plan was designed by the architect carl ludwig engel,بعدازاین ویرانگرترین اتش سوزی تاریخ کشورهای اروپای شمالی شخصی بنام کارل لودویک انگل نقشۂ بنای تورکوی جدید را پی ریزی کرد,infopankki
yet one part of the city survived the great fire of turku completely unharmed the luostarinmaki hill literally the cloister hill was located so high on a hill that the flames did not reach it,درجریان اتش سوزی شهرتورکو یکی ازمحلات ان بطورکلی ازخطرحریق وویرانی نجات پیدا کرد نام این محله لوﺌوستارین مکی میباشد وازانجایی که درمنطقه ای مرتفع قرارداشت زبانه های اتش نتوانسته بودند تا بدانجا سرایت بکنند,infopankki
nowadays luostarinmaki is a museum where you can see how people lived in the 19th century,امروزه لوﺌوستارین مکی به موزه ای تبدیل شده است که میتوان برای تماشا بدانجا رفته وشاهد بقایای زندگی انسانها درقرن 18 میلادی شد,infopankki
in the 1820s there were approximately one million people living in finland and 12 000 in turku,درمحدودۂ سالهای 1820 فنلاند حدود یک میلیون نفرجمعیت داشت تعداد ساکنین شهرتورکو دران دوره رقمی درحدود 12 000 نفربوده است,infopankki
turku was the biggest city in finland until the 1840s,شهرتورکو تا سالهای 1840 همچنان بزرگترین شهرفنلاند بوده است,infopankki
transport,حمل ونقل وارتباطات عمومی,infopankki
turku has an efficient network of public transport and the city is well connected to other parts of finland,شهرتورکو ازشبکۂ اتوبوسرانی وحمل ونقل درون شهری بسیارمنظمی برخوردارمیباشد ازطرفی دیگرتورکو ازنظرارتباط با نقاط دیگرفنلاند هم درموقعیت بسیارخوبی قراردارد,infopankki
using the turku region public transport service foli you can search for information on travel routes in turku and in the turku region,ازطریق مراجعه به صفحۂ اینترنتی مرکزخدمات حمل ونقل عمومی شهرتورکو وحومه میتوانید به اطلاعات مورد نیازخودتان درمورد مسیرها وایستگاه های شرکت اتوبوسرانی شهری وبین شهری درمنطقۂ تورکو دسترسی پیدا بکنید,infopankki
the service helps you to find your way from one place to another by using public buses,این امکان خدماتی میتواند به شما درانتقال ازجایی به جای دیگربا استفاده ازاتوبوسها ووسایل حمل ونقل عمومی یاری برساند,infopankki
when travelling on public buses you can pay by cash or by a travel card which you can buy at a service counter,هزینۂ مسافرت ورفت وامد با این وسایط نقلیۂ عمومی را میتوانید یا بطورنقدی پرداخت نموده ویا برای پرداخت ان ازکارت اتوبوس استفاده بنمایید,infopankki
you can load your travel card at a service counter or on the bus,شارژپول به این کارتهای مسافرتی دردفترخدماتی مربوطه ویا خود اتوبوسها صورت میگیرد,infopankki
for more information on sales offices and loading your travel card visit the foli website,اطلاعات بیشتردرمورد مکانهای فروش وشارژکارتهای اتوبوسرانی شهرتورکو وحومه را میتوانید ازطریق صفحۂ خدمات اینترنتی بدست بیاورید,infopankki
contact information for the public transport service office,ادرس واطلاعات ضروری دیگردربارۂ ادارۂ خدماتی شرکت اتوبوسرانی شهری,infopankki
tel 02 262 4811 fax 02 262 4887,شمارۂ تلفن 02 262 4811 شمارۂ فاکس 02 262 4887,infopankki
open monfri 8001800 sat 9001400,ساعات کاروفعالیت اداری روزهای دوشنبه تا جمعه ازساعت 8 00 تا 18 00 روزهای شنبه ازساعت 9 00 تا 14 00,infopankki
turku is well connected by road and public transport and it is easy to travel from turku to different parts of finland and specially to the capital region and helsinki,شهرتورکوازشبکۂ جاده ای وامکانات ارتباطی عمومی بسیارخوبی با نقاط دیگرفنلاند مخصوصٲ با پایتخت کشوریعنی شهر هلسینکی وشهرهای اطراف ان برخوردارمیباشد,infopankki
turku also has an airport that operates domestic and international flights,شهرتورکوهمچنین دارای یک فرودگاه میباشد که ازطریق ان میتوان با هواپیما به نقاط دیگرکشورویا خارج ازکشورمسافرت نمود,infopankki
in finland traffic drives on the right,رانندگی درجاده های فنلاند ازطریق باند سمت راست راننده صورت میگیرد,infopankki
during the dark seasons remember to use a reflector which will help you to be seen in traffic,حتمٲ بیاد داشته باشید که درایام تاریک سال ازپوشش هایی که به شبرنگ مجهزباشند استفاده بنمایید,infopankki
motorists can distinguish someone using a reflector from three times further away than someone without one,شخصی که ازشبرنگ استفاده میکند ازمسافتی معادل سه برابردورترازشخصی که ازان استفاده نمیکند برای رانندگان دیگرقابل مشاهده میگردد,infopankki
when riding a bicycle you should use a helmet,هنگام رانندگی با دوچرخه باید ازکاسکت یا کلاه مخصوص دوچرخه سواری استفاده کرد,infopankki
you can find information about finnish traffic safety and behaviour at the traffic safety website of liikenneturva,اطلاعات ضروری دربارۂ مراعات اصول ومقررات امنیتی ترافیک ورفتاروعملکرد شهروندان دراین مورد را میتوانید ازصفحۂ اینترنتی امنیت ترافیکی بیابید,infopankki
for more information traffic in finland,برای اطلاعات بیشتر راه و ترابری فنلاند,infopankki
folifinnish swedish english,فنلاندی سویدی انگلیسی,infopankki
turku airportfinnish english,فرودگاه تورکوفنلاندی انگلیسی,infopankki
timetablesfinnish swedish english russian,برنامه های حرکتفنلاندی سویدی انگلیسی روسی,infopankki
travel servicesfinnish swedish english,خدمات مسافرتیفنلاندی سویدی انگلیسی,infopankki
liikenneturvafinnish swedish english,اخبار و اطلاعیه هافنلاندی سویدی انگلیسی,infopankki
liikenneturva plain language pagesfinnish,صفحه اطلاعات امنیت ترافیک فنلاندی,infopankki
religion,دین وباورهای مذهبی,infopankki
there are many different active religious communities and temples as well as several activity centres of different religions in turku,درشهرتورکو جمعیت های مذهبی ودینی مختلفی فعالیت دارند برخی ازاین جمعیت های دینی مذهبی مراکزخاص برای برگزاری مراسم اعتقادی قدسی ویا پیشبرد دیگرفعالیت های خودشان را هم دارند,infopankki
for information on religious communities in different regions visit the website of the religions in finland project,ازطریق اطلاعات درج شده درادرس خدماتی ادیان وباورهای مذهبی درفنلاند میتوانید به معلومات مورد نیازخودتان دراین باره براساس نام این جماعتهای مذهبی دینی ویا مکان وشهرفعالیت انها دسترسی پیدا بکنید,infopankki
for more information cultures and religions in finland,برای اطلاعات بیشتر فرهنگها و ادیان مختلف در فنلاند,infopankki
communitiesfinnish english,جوامعفنلاندی انگلیسی,infopankki
decisionmaking and public engagement,مکانیسم تصمیمگیری درامورشهری وامکان تٲثیرگذاری,infopankki
the highest decisionmaking authority in terms of the citys operations is the city council which has a total of 67 council members representing different political groups,درمورد موضوعات ومسایل مربوط به شهرتورکو شورای این شهرتصمیم میگیرد این شورا 67 نفرعضو دارد که احزاب وگروه های سیاسی موجود را نمایندگی می کنند,infopankki
the council is elected in municipal elections that take place every four years,اعضای شورای شهر هرچهارسال یکبار وازطریق انتخابات شهرداری ها انتخاب میگردند,infopankki
for more information on the city council and its decisions made in the town hall at aurakatu 2 go to the website of the city of turku,برای اطلاع یابی ازفعالیت های شورای شهرواگاهی ازتصمیمات اتخاذشده توسط این شورا میتوانید به صفحۂ اینترنتی این شورا مراجعه کرده ویا پروسۂ این تصمیمگیری ها را با حضوردرسالن مجلس شهری تعقیب بنمایید ساختمان مجلس شهری درادرس 2 قراردارد,infopankki
the protocols made on the meetings are held on public display at the city administrations turkupiste service point usually on the thursday following the week when the meeting was held,صورتجلسات تنظیم شده ازبرگزاری جلسات تصمیمگیری شورای شهررا معمولٲ روزهای پنجشنبۂ هفتۂ بعدازبرگزاری انها در محل تورکو پیسته متعلق به کنسرن اداری شهربرای اطلاع به نمایش عمومی قرارمیدهند,infopankki
contact information,اطلاعات لازم برای تماس گیری,infopankki
open from mon to fri from 900 to 1500,ساعات اداری روزهای دوشنبه تا جمعه ازساعت 9 00 صبح تا 15 00 بعدازظهر,infopankki
on the website you can express your opinions on issues that concern you and are related to your own home municipality,ازطریق صفحۂ اینترنتی میتوانید درمورد موضوعات شهری محل سکونت تان که با شما ارتباط پیدا میکنند اظهارنظربکنید,infopankki
is an internet website where young people can make various suggestions for improvements and comment on ideas presented by others,صفحۂ اینترنتی امکانی است که ازطریق ان جوانان میتوانند پیشنهادات اصلاحی خودرا ارایه داده ودرمورد نظرات وپیشنهادهای ارایه داده شده توسط افراد دیگرنظربدهند,infopankki
for more information participate and influence,برای اطلاعات بیشتر شرکت کنید و تاثیر بگذارید,infopankki
turkupiste service pointfinnish,تورکو نقطه فنلاندی,infopankki
nuorten youth finnish,تصمیم گیریفنلاندی سویدی انگلیسی,infopankki
swedish,ایده های جوانان فنلاندی سویدی,infopankki
this page contains information on leisure time activities in turku,دراین صفحه اطلاعات مربوط به شیوه های گذرانیدن اوقات فراغت درشهرتورکو موجودمیباشند,infopankki
for more important information on the topic see the page leisure,اما اطلاعات مهم بیشتردرمورد موضوع ذکرشده را میتوانید با مراجعه به صفحۂ اینترنتی اوقات فراغت بدست بیاورید,infopankki
leisurefinnish swedish english,وقت ازادفنلاندی سویدی انگلیسی,infopankki
event calendarfinnish swedish english,تقویم اتفاقاتفنلاندی سویدی انگلیسی,infopankki
menovinkitfinnish,پیشنهاد برای رفتن به جاییفنلاندی,infopankki
cultural experiences in turku,رویدادهای فرهنگی درشهرتورکو,infopankki
turkus vibrant eventful and highclass cultural life offers alternatives for all tastes,بخش قدرتمند پرشورومٶثر خدمات فرهنگی شهرتورکو برنامه های الترناتیو متنوعی موافق با سلیقه های مختلف فرهنگی اهالی شهرارایه میدهد,infopankki
culturefinnish swedish english,فرهنگفنلاندی سویدی انگلیسی,infopankki
cuture in turkufinnish,فرهنگ در تورکوفنلاندی,infopankki
music and concerts,موسیقی وکنسرت ها,infopankki
the turku philharmonic orchestra offers classical music in the concert hall aninkaistenkatu 9,ارکسترفیلارمونیک تورکو درسالن کنسرت شهرواقع درادرس 9 موسیقی کلاسیک عرضه میکند,infopankki
in the spring and autumn seasons symphony chamber music and popular music concerts are held almost weekly,درطول دو دورۂ بهاری وپاییزی فعالیت تقریبٲ هرهفته کنسرتهای موسیقی سمفونیک موسیقی مجلسی وهمچنین کنسرتهای سرگرم کننده وتفریحی برگزارمیشود,infopankki
free internet concerts can be watched online either recorded or live,کنسرتهای مجانی اینترنتی را میتوانید یا بطورهمزمان وزنده ویا به شکل برنامه های ضبط شده تماشا بکنید,infopankki
the turku philharmonic orchestra is finlands oldest orchestra,ارکسترفیلارمونیک تورکو قدیمی ترین ارکسترفنلاند بشمارمی اید,infopankki
its roots date back to 1790,ریشه های شکلگیری وشروع فعالیت این ارکستربه سال 1790 برمیگردد,infopankki
its main place of performance has been turku concert hall since it was built in 1952,محل اصلی کنسرتهای این ارکستر سالن کنسرت تورکو میباشد که درسال 1952 اماده وشروع به کارکرده است,infopankki
tickets to concerts by the turku philharmonic orchestra are sold by lippupiste the ars musica cultural shop located in the concert hall,بلیط کنسرتهای ارکسترفیلارمونیک تورکورا میتوان ازطریق دفترفروش بلیط تالارکنسرت ویا فروشگاه فرهنگی ارس موسیکا واقع درتالارکنسرت خریداری کرد,infopankki
tickets can also be bought at the door one hour before the concert,بلیط کنسرتها را همچنین میتوان درساعتهای قبل ازشروع هرکنسرت ازمقابل درب ورودی تالارتهیه دید,infopankki
concerts are also held at the waino aaltonen museum on tuesdays and the sibelius museum holds its own series of concerts on wednesdays,سه شنبه ها درموزۂ وینو التونن کنسرت برگزارشده وموزۂ سیبلیوس هم درروزهای چهارشنبه سریال کنسرتهای اختصاصی اش را برگزارمیکند,infopankki
many more concerts are held in churches and at vanha raatihuone,درکلیساهای شهروسالن قدیمی شورای شهر نیزکنسرتهای زیادی برگزارمیشوند,infopankki
numerous clubs and other event organisers are responsible for the light music offering,ارایۂ برنامه های موزیک سبک وغیر کلاسیک به عهدۂ کلوبهای متعدد شهرودیگر برگزارکنندگان انها میباشد,infopankki
turku philharmonic orchestrafinnish swedish english,ارکستر فلارمونیک تورکوفنلاندی سویدی انگلیسی,infopankki
theatre dance theatre and movies,تیاتر تیاتر رقص وفیلم سینمایی,infopankki
theatrical performances can be viewed at for example the city theatre bo svenska teater linnateatteri tehdasteatteri and in summer the summer theatre,برای تماشای تیاترمیتوانید منجمله به سالنهای تیاترمتعلق به شهرداری تیاترسوﺌدی زبانهای شهرتورکو تیاترلینا وتیاترتهداس مراجعه بکنید,infopankki
dance theatre is offered by aurinkobaletti and dance theatre eri,تابستانها امکان مراجعه به تیاترهای تابستانی فراهم میشود,infopankki
turku also has active puppet theatre and amateur dramatics,درشهرتورکو همچنین یک تیاترفعال غیرحرفه ای عروسکی بکاروفعالیت مشغول میباشد,infopankki
turku also has the finnkino cinema and a range of film clubs,شهرتورکودارای سینمای فین کینو وانجمنهای متعدد فیلم میباشد,infopankki
theatrefinnish swedish english,تاترفنلاندی سویدی انگلیسی,infopankki
turku city theatrefinnish swedish english,تاتر شهر تورکوفنلاندی سویدی انگلیسی,infopankki
cinemafinnish swedish english,فیلمفنلاندی سویدی انگلیسی,infopankki
museums and exhibitions,موزه ها ونمایشگاه ها,infopankki
turku has many museums where you can learn about finnish history finnish customs folk traditions and art as well as finnish nature,شهرتورکو دارای موزه های جالب متعددی میباشد که با کمک انها میتوان با تاریخ وفرهنگ کشورفنلاند سنن واداب مردم این کشوروطبیعت ان اشنا شد,infopankki
at the same time you can learn the key vocabulary of the subjects,همزمان با این اشنایی به موضوعات مطرح شده میتوانید با هستۂ اصلی گنجینۂ لغات این حوزه ها نیزاشنا بگردید,infopankki
the museums include turku castle the pharmacy museum luostarinmaki handicrafts museum forum marina and aboa vetus,موزه های موجود درشهرتورکوازجمله عبارتند از موزۂ قلعۂ تورکو موزۂ داروخانه موزۂ کارهای دستی کارگری واقع درلوﺌوستاری مکی وهمچنین موزۂ,infopankki
art can be admired at waino aaltonen museum turku art museum ars nova and in galleries,درموزه هایی مانند موزۂ موزۂ هنری تورکو وگالری های دیگرشهرمیتوانید ازتماشای هنرهای عکس ونقاشی لذت ببرید,infopankki
the turku biological museum acquaints its visitors with finnish nature key types of landscape and different species of fauna,موزۂ بیولوژی تورکومراجعه کنندگان خودرا با طبیعت فنلاند انواع مهم مناظرطبیعی فنلاند ویا انواع حیوانات اشنا میکند,infopankki
in addition to exhibitions the museums offer several different kinds of events guided tours and workshops for all ages,غیرازنمایش های مختلف درموزه های شهر انواع برنامه های راهنمایی وارایۂ رهنمود های هنری کارگاه های اموزش عملی وانواع برنامه ها برای گروه های سنی مختلف برگزارمیشوند,infopankki
kuralan kylamaki is an area of recreational culture for the whole family you can visit the area of kurala all year round have a picnic there or get to know the animals on the farm,یک منطقۂ فرهنگی تفریحی برای استفادۂ خانوادگی میباشد دراین منطقه میتوان در طول تمام مدت سال به گشت وگذارپرداخته وبا حیوانات انجا اشنا شد,infopankki
in summer and during events you can learn about life on a 1950s farm on a guided tour watch displays of work and try out your own handicraft skills,درایام تابستان دراین منطقه با کمک راهنمایان میتوان با زندگی وفعالیت روزانۂ مزارع کشاورزی روستایی درسالهای دهۂ 1950 اشنا شد,infopankki
kuralas experimental workshop organises workshops and courses all year round,درطول سال درکارگاه ازمایشی منطقۂ کورالان کورسهای عملی کارگاهی مختلفی برگزارمیشود,infopankki
the addresses opening hours and ticket prices are listed on the museums web pages,ادرس موزه ها اوقات کاروقیمت بلیطهای انها را میتوانید ازطریق جستجودرصفحۂ اینترنتی این موزه ها بیابید,infopankki
museumfinnish swedish english,موزهفنلاندی سویدی انگلیسی,infopankki
turku artmuseumfinnish swedish english,موزه هنرفنلاندی سویدی انگلیسی,infopankki
forum marinumfinnish swedish english russian,فنلاندی سویدی انگلیسی روسی,infopankki
museum of history and contemporary artfinnish swedish english,موزه تاریخ و هنر معاصرفنلاندی سویدی انگلیسی,infopankki
logomo is a former workshop of finnish railways and now a culture centre,اینک به یک مرکزفرهنگی تبدیل شده است سابقٲ کارگاه راه اهن بوده است,infopankki
it hosts many different kinds of events such as art exhibitions concerts and other cultural functions,دراین مرکز برنامه های فرهنگی مختلفی مانند نمایشگاه های هنری کنسرت وغیره سازمان داده میشود,infopankki
the performances of the turku city theatre are being held at logomo from 2014 to 2016 as the theatres own building is undergoing renovation,بخاطردردست تعمیربودن ساختمان تیاترشهرتورکو نمایش های این تیاترازسال 2014 الی 2016 درسالن مرکزفرهنگی برگزارمیشوند,infopankki
libraries are the meeting places of books cultures and people,کتابخانه ها مراکزتلاقی وملاقات کتابها فرهنگ ها وانسانها میباشند,infopankki
for more information libraries,مطالب بیشتردربارۂ این موضوع درادرس کتابخانه ها,infopankki
several branch libraries all over turku are a part of the turku city library as is the main library in the city centre,شبکۂ کتابخانه ای شهرتورکوشامل کتابخانۂ مرکزی وکتابخانه های فرعی محلی وابسته به ان میباشد کتابخانۂ مرکزی در مرکزشهرقراردارد,infopankki
in addition to this mobile libraries travel around the city,بعلاوۂ این کتابخانه ها کتابخانه های سیا ری هم موجود میباشند که بین محلات مختلف شهردررفت وامد هستند,infopankki
in a library you can for example,درکتابخانه میتوان,infopankki
read books and magazines in finnish and other languages,به مطالعۂ روزنامه ها نشریات وکتابهایی به زبان فنلاندی وزبانهای دیگرپرداخت,infopankki
use a computer and the internet,ازکامپیوترهای موجود وارتباطات اینترنتی استفاده کرد,infopankki
read international newspapers using the pressdisplay program,با بکاربردن برنامۂ کامپیوتری پرس دیس پلی به مطالعۂ روزنامه های کشورهای دیگرجهان پرداخت,infopankki
participate in various events and lectures,دربرنامه ها وفعالیت های دیگرسازمان داده شده درانها مشارکت نمود,infopankki
study and hang out,به مطالعه تحصیل ووقت گذرانی پرداخت,infopankki
visiting a library borrowing books and using its computers are free of charge,مراجعه کردن به کتابخانه قرض گرفتن واستفاده ازکامپیوترها مجانی میباشد,infopankki
everyone who has a library card can borrow books cds dvds and other material free of charge,هرکسی که کارت کتابخانه داشته باشد میتواند بطورمجانی کتاب وماتریالهای موجود دیگرازجمله موزیک وفیلم را امانت گرفته وبرای استفادۂ شخصی به خانه ببرد,infopankki
in turku you can also add the culture card feature to your library card and by so doing you will receive email updates about turkus abundant cultural offerings and everchanging range of benefits and offers,در ارتباط با کارت کتابخانه ای تورکو میتوان ازخدماتی بنام کارت فرهنگی هم برخوردارشد که برپایۂ ان میتوان به اخبارو اطلاعات به روزشده درمورد برنامه های فرهنگی متعدد وتغییرات پیش امده درمزایای مربوط به استفاده ازانها ازطریق ایمیل یا پست الکترونیکی دسترسی پیدا کرد,infopankki
the library can also be hired for meetings events and exhibitions of different sizes,درارتباط با کتابخانه ها مکانهای متعددی دراندازه ها وابعاد مختلف وجود دارند که انها را میتوان برای برگزاری جلسات نمایشگاه ها و برنامه های مختلف دیگرکرایه کرد,infopankki
contact information of the turku city library,ادرس کتابخانۂ مرکزی تورکو,infopankki
libraries opening hours and contact informationfinnish swedish english,کتابخانه ها ساعات کار اطلاعات تماسفنلاندی سویدی انگلیسی,infopankki
web libraryfinnish swedish english,کتابخانه شبکه اینترنتیفنلاندی سویدی انگلیسی,infopankki
sports and exercise in turku,ورزش وتربیت بدنی درشهرتورکو,infopankki
turku has an abundance of different sports services to offer all yearround,شهرداری تورکو خدمات ورزشی تحرکی بسیارعالی ومتنوعی را برای استفاده درفصول مختلف سال فراهم میکند,infopankki
turku has playing fields gymnasiums public swimming pools fitness tracks nature trails cycling trails and in winter ice rinks and ski trails,درمناطق مختلف شهرزمین های ورزشی سالن های تحرک بدنی بدنسازی استخرهای شنا مسیرهای پیاده روی ومراقبت ازسلامتی تن مسیرهای پیاده روی درطبیعت راه ها ومسیرهای دوچرخه رانی ودرفصل زمستان مسیرهای اسکی ومیادین پاتیناژدر اختیارشهروندان میباشند,infopankki
for more information sports,برای اطلاعات بیشتر ورزش,infopankki
sports finnish swedish,ورزشفنلاندی سویدی,infopankki
turku on the movefinnish,تورکو در حرکتفنلاندی,infopankki
swimming,شنا کردن,infopankki
the city of turkus indoor and outdoor swimming pools offer a wide range of reasonablypriced possibilities to engage in water sports,استخرها ومکانهای شنای سرپوشیده وساحلی درشهرتورکوامکانات ارزان باصرفه وجامع الاطرافی را برای تحرکات ورزشی بدنی داخل ابی شهروندان فراهم می نمایند,infopankki
