English,Persian,Source
the person entering the video into the competition the maker of the video is responsible for making sure that all copyrights pertaining to the video entered in the competition are hishers to surrender,ارسال کننده تهیه کننده مسیولیت دارد که مجوزهای لازم برای اثر ارسالی را تحویل گرفته باشد,infopankki
more information on copyrights wwwteostofi wwwkopiostofi wwwgramexfi wwwtuotosfi,برای کسب اگاهی بیشتر درباره حقوق مربوط به طبع و نشر به وب سایتهای و مراجعه کنید,infopankki
if your videowork contains material protected by third party copyrights you must make sure you have all the necessary permissions to use the material,چنانکه ویدیو یا اثر مربوطه حاوی مطالبی باش که حقوق نشر و طبع کپی رایت ان در انحصار شخص ثالث باشند در این صورت تهیه کننده اثر باید اطمینان یابد که مجوزهای لازم برای استفاده از این مطالب را دارد,infopankki
the maker of the videoperson in charge is responsible for making all the possible copyright and recording fees and is also accountable for any legal claims made by third parties,تهیه کننده ویدیو فرد مسیول پاسخگوی تمام موارد مربوط به ادعاهای مربوط به حقوق طبع و نشر پرداخت هزینه های دانلود کردن و دیگر حقوق مربوط به شخص ثالث می باشد,infopankki
the makers of the video will retain copyright to their work,حق طبع و نشر قانون کپی رایت اثر در انحصار سازنده ان می ماند,infopankki
offensive or inappropriate content,محتویات توهین امیز و غیر اصولی و بی ربط,infopankki
videos that are unrelated to the theme of the competition or in any other way inappropriate will be rejected from the competition,ویدیو هایی که محتوای انها به موضوع مسابقه ربط نداشته و یا کلا غیر اصولی می باشند پذیرفته نمی شوند,infopankki
videos entered may not offend degrade or discriminate anybody based on their gender ethnic origins or religious beliefs,ویدیوی ارسالی نباید باعث بی احترامی تحقیر نمودن و یا تبعیض جنسی نژادی و یا اعتقادات دینی و مذهبی شود,infopankki
the videos can not be in violation of finnish legislation or good taste,محتویات ویدیوی مورد نظر باید مطابق با قوانین فنلاند و ذوق و سلیقه خوب باشد,infopankki
people featured in the video and permits,افرادی که در ویدیو حضور دارند و مجوزهای مربوط به ان,infopankki
the person entering the video into the competition must request written consent for the public display of the work from all people featured in the video in such way that they can be recognised and also from all people involved in making the video,ارسال کننده ویدیو باید از تمام افرادی که در ویدیو بوده و قابل شناسایی می باشند و همچنین از تمام افرادی که در ساختن ویدیو همراهی داشته اند و در مورد افراد زیر سن قانونی از سرپرستان انه اجازه کتبی جهت پخش عمومی ویدیو را داشته باشد,infopankki
if any of these people are minors the consent must be given by their guardians,ارسال کننده اثر باید جهت ساخت و ضبط و اماده سازی بخش های مختلف ان از کلیه تهیه کنندگان ان اجازه کتبی دریافت کند,infopankki
filming in public places is permitted but filming in private quarters is always subject to permission,فیلمبرداری در اماکن عمومی ازاد است ولی جهت فیلمبرداری در اماکن خصوصی نیاز به کسب مجوز میباشد,infopankki
rights to the videos,تهیه کنده اثر شرکت داده شده در مسابقه,infopankki
the person entering the video into the competition surrenders to the competition organiser ie the city of helsinki unlimited rights to publicly display the video and to utilise it or parts of it in infopankkis online marketing without any compensation the rights also cover the use of the material in any other similar media and in events worldwide,حقوق بی حد و حصری را جهت نمایش و بهره برداری از اثر مذکور و یا از بخشی از ان در اینترنت و یا دیگر رسانه ها و همچنین در مراسم و وقایع سرتاسر جهان و به منظور تبلیغ و بازاریابی برای به برگزار کننده مسابقه که شهرستان هلسینکی می باشد ارایه می دهد,infopankki
competition entries can be published among others places on the infopankki website and on infopankkis youtube channel,این ویدیو ها می توانند بعنوان مثال در وب سایتهای و یا در منتشر شوند,infopankki
the person entering the video into the competition surrenders the right to copy the work and change its format and size to the extent that is necessary to display the work,شرکت کنند گان در این مسابقه حقوق لازم جهت کپی کردن اثر و تغییر دادن فرمت ها و حجم ان تا جایی که جهت به نمایش گذاشتن ان نیاز می باشد را در اختیار برگزار کننده قرار می دهند,infopankki
selecting the winner and prizes,برگزیدن برنده مسابقه و اهدای جوایز,infopankki
the infopankki editorial team together with the infopankki user panel will select the winner,بخش مدیریت بهمراه شورای کاربران برنده مسابقه ویدیویی را بر میگزینند,infopankki
the winning entry will be rewarded with a tablet computer,به برنده مسابقه کامپیوتر تبلت اهدا میشود,infopankki
accepting the competition rules,پذیرفتن مقررات,infopankki
by entering a video in the competition the person entering that videomaker of that video accepts these terms,با ارسال ویدیو به مسابقه ارسال کنده یا تهیه کننده ویدیو این شرایط را می پذیرد,infopankki
the infopankki video competition has ended,مسابقه ویدیویی پایان یافته است,infopankki
check the competition results at the finnishlanguage website,جهت دیدن نتایج مسابقه ویدیویی به صفحات فنلاندی وب سایت مراجعه کنید,infopankki
my infopankki five tips for people moving to finland,مسابقه ویدیویی 2013,infopankki
infopankki invites all immigrants living in finland to take part in a video competition entitled my infopankki five tips for people moving to finland,از تمام افرادی که به فنلاند مهاجرت کرده اند دعوت می کند تا در مسابقه ویدیویی تحت عنوان من پنج راهنمایی برای افرادی که به فنلاند مهاجرت میکنند شرکت کنند,infopankki
enter your video in the competition,با ارسال ویدیوی خود در این مسابقه شرکت کنید,infopankki
the winning entries will be rewarded with 3 tablet computers hp suite 7,جایزه ان 3 عدد کامپیوتر تبلت 7 می باشد,infopankki
competition instructions,دستورالعمل ها,infopankki
explore the infopankki website at wwwinfopankkifi,با وب سایت از طریق مراجعه به اشنا شوید,infopankki
the length of your video should be between 1 and 3 minutes,این ویدیو می تواند 3 1 دقیقه باشد,infopankki
your video can be in any of the infopankki languages,این ویدیو را با یکی از زبانهای بسازید,infopankki
infopankki languages include finnish swedish english russian estonian french serbocroatian somali spanish turkish albanian chinese kurdish sorani persian and arabic,زبانهای عبارتند از فنلاندی سویدی انگلیسی روسی استونیایی فرانسوی صربی کرواتی سومالیایی اسپانیایی ترکی البانیایی چینی کردی سورانی فارسی و عربی,infopankki
your video must not include any material subject to third party copyrights such as background music or images,و از مطالبی همانند موسیقی متن و یا عکسهایی که تکثیر انها مجاز نبوده و شامل قانون کپی رایت میشوند استفاده نکنید,infopankki
create your own youtube account and upload your video to youtube,در سایت برای خود حساب کاربری باز کنید و ویدیو را در اپلود کنید,infopankki
send a link to your video along with your contact information to infopankki by emailing infopankki,لینک مربوط به ویدیوی و اطلاعات تماس خود را به سایت به ادرس ارسال کنید,infopankki
we look forward to receiving videos from people from all walks of life different professions as well as students,امیدواریم که این ویدیو ها توسط اقشار مختلف مردم که دارای شرایط زندگی مختلف بوده از گروههای کاری و شغلی گوناگون میباشند و یا دانشجو هستند ارسال شوند,infopankki
we are hoping for entries that show emotion intelligence wit and humour,امیدواریم که ویدیو های ارسالی مهیج تیزهوشانه عاقلانه و جالب و سرگرم کننده باشند,infopankki
competition entries will be accepted until,مهلت شرکت در این مسابقه تا 1 12 2013 می باشد,infopankki
credits,مقررات,infopankki
indicate at the end of your video the names of all the people involved in making the video,اطلاعات مربوط به تهیه کننده اثر,infopankki
if the video was made by several people the final credits should also name one person in charge who is at least 15 years old and who is responsible for acquiring any permits possibly needed in the making of the video and the appropriateness of any such permits the same person also assumes responsibility for the appropriate use of any material subject to third party copyrights and is liable for meeting any copyright compensations and claims,در انتهای ویدیو نام تمام افرادی را که در فیلم بوده اند را درج کنید و اگر در تهیه این ویدیو چندین نفر شرکت داشته اند بایستی در انتهای تکست نام فردی را که بیشتر از 15 سال سن دارد و در نهایت مسیولیت کسب مجوزهای مربوط به ویدیو و مناسب بودن ان و استفاده مناسب و اصولی از مطالبی که شامل قانون کپی رایت بوده و برای تکثیر و انتشار ان نیاز به کسب مجوز از مولف و یا ناشر اصلی ان می باشد را داشته و همچنین به کار تهیه لباس نیز رسیدگی می کند را ذکر کنید,infopankki
copyrights,حقوق مربوط به طبع و نشر مطالب,infopankki
do not use any material subject to third party copyrights in your video such material includes for example background music and images,در تهیه ویدیو از مطالبی همانند موسیقی متن و یا عکسهایی که تکثیر انها مجاز نبوده و شامل قانون کپی رایت میشوند استفاده نکنید,infopankki
please note that the person entering the video into the competition is responsible for making sure that the video or any part of it is not in violation of third party copyrights trademark rights or other immaterial rights,توجه داشته باشید که فرد تهیه کننده اثری که در مسابقه شرکت داده میشود مسیولیت دارد که موسیقی یا تصاویر و عکسهای استفاده شده در اثر ارسالی و یا در بخشی از ان باعث نقص حقوق شخص ثالث نقض قانون مربوط به استفاده از علایم تجاری و نقض حقوق مالکیت معنوی نشوند,infopankki
the competition organiser is not responsible for any claims made by third parties pertaining to videos containing the use of material contrary to agreement plagiarism misrepresentation distribution or any other such cause,برگزار کننده مسابقه پاسخگوی ادعاهای اشخاص ثالث که ناشی از استفاده غیر مجاز از مطالب کپی کردن تغییر دادن توزیع کردن و موارد دیگر مشابه هستند نمی باشد,infopankki
the person entering the video into the competition the maker of the video is responsible for making sure that all copyrights pertaining to the video entered in the competition are hishers to surrender,ارسال کننده تهیه کننده مسیولیت دارد که مجوزهای لازم برای اثر ارسالی را تحویل گرفته باشد,infopankki
more information on copyrights wwwteostofi wwwkopiostofi wwwgramexfi wwwtuotosfi,برای کسب اگاهی بیشتر درباره حقوق مربوط به طبع و نشر به وب سایتهای و مراجعه کنید,infopankki
if your videowork contains material protected by third party copyrights you must make sure you have all the necessary permissions to use the material,چنانکه ویدیو یا اثر مربوطه حاوی مطالبی باش که حقوق نشر و طبع کپی رایت ان در انحصار شخص ثالث باشند در این صورت تهیه کننده اثر باید اطمینان یابد که مجوزهای لازم برای استفاده از این مطالب را دارد,infopankki
the maker of the videoperson in charge is responsible for making all the possible copyright and recording fees and is also accountable for any legal claims made by third parties,تهیه کننده ویدیو فرد مسیول پاسخگوی تمام موارد مربوط به ادعاهای مربوط به حقوق طبع و نشر پرداخت هزینه های دانلود کردن و دیگر حقوق مربوط به شخص ثالث می باشد,infopankki
the makers of the video will retain copyright to their work,حق طبع و نشر قانون کپی رایت اثر در انحصار سازنده ان می ماند,infopankki
offensive or inappropriate content,محتویات توهین امیز و غیر اصولی و بی ربط,infopankki
videos that are unrelated to the theme of the competition or in any other way inappropriate will be rejected from the competition,ویدیو هایی که محتوای انها به موضوع مسابقه ربط نداشته و یا کلا غیر اصولی می باشند پذیرفته نمی شوند,infopankki
videos entered may not offend degrade or discriminate anybody based on their gender ethnic origins or religious beliefs,ویدیوی ارسالی نباید باعث بی احترامی تحقیر نمودن و یا تبعیض جنسی نژادی و یا اعتقادات دینی و مذهبی شود,infopankki
the videos can not be in violation of finnish legislation or good taste,محتویات ویدیوی مورد نظر باید مطابق با قوانین فنلاند و ذوق و سلیقه خوب باشد,infopankki
people featured in the video and permits,افرادی که در ویدیو حضور دارند و مجوزهای مربوط به ان,infopankki
the person entering the video into the competition must request written consent for the public display of the work from all people featured in the video in such way that they can be recognised and also from all people involved in making the video,ارسال کننده ویدیو باید از تمام افرادی که در ویدیو بوده و قابل شناسایی می باشند و همچنین از تمام افرادی که در ساختن ویدیو همراهی داشته اند و در مورد افراد زیر سن قانونی از سرپرستان انه اجازه کتبی جهت پخش عمومی ویدیو را داشته باشد,infopankki
if any of these people are minors the consent must be given by their guardians,ارسال کننده اثر باید جهت ساخت و ضبط و اماده سازی بخش های مختلف ان از کلیه تهیه کنندگان ان اجازه کتبی دریافت کند,infopankki
filming in public places is permitted but filming in private quarters is always subject to permission,فیلمبرداری در اماکن عمومی ازاد است ولی جهت فیلمبرداری در اماکن خصوصی نیاز به کسب مجوز میباشد,infopankki
rights to the videos,تهیه کنده اثر شرکت داده شده در مسابقه,infopankki
the person entering the video into the competition surrenders to the competition organiser ie the city of helsinki unlimited rights to publicly display the video and to utilise it or parts of it in infopankkis online marketing without any compensation the rights also cover the use of the material in any other similar media and in events worldwide,حقوق بی حد و حصری را جهت نمایش و بهره برداری از اثر مذکور و یا از بخشی از ان در اینترنت و یا دیگر رسانه ها و همچنین در مراسم و وقایع سرتاسر جهان و به منظور تبلیغ و بازاریابی برای به برگزار کننده مسابقه که شهرستان هلسینکی می باشد ارایه می دهد,infopankki
competition entries can be published among others places on the infopankki website and on infopankkis youtube channel,این ویدیو ها می توانند بعنوان مثال در وب سایتهای و یا در منتشر شوند,infopankki
the person entering the video into the competition surrenders the right to copy the work and change its format and size to the extent that is necessary to display the work,شرکت کنند گان در این مسابقه حقوق لازم جهت کپی کردن اثر و تغییر دادن فرمت ها و حجم ان تا جایی که جهت به نمایش گذاشتن ان نیاز می باشد را در اختیار برگزار کننده قرار می دهند,infopankki
selecting the winner and prizes,برگزیدن برنده مسابقه و اهدای جوایز,infopankki
the infopankki editorial team together with the infopankki user panel will select the winner,بخش مدیریت بهمراه شورای کاربران برنده مسابقه ویدیویی را بر میگزینند,infopankki
the winning entry will be rewarded with a tablet computer,به برنده مسابقه کامپیوتر تبلت اهدا میشود,infopankki
accepting the competition rules,پذیرفتن مقررات,infopankki
by entering a video in the competition the person entering that videomaker of that video accepts these terms,با ارسال ویدیو به مسابقه ارسال کنده یا تهیه کننده ویدیو این شرایط را می پذیرد,infopankki
the infofinland editorial team is a part of city of helsinki executive offices communications unit,مدیریت تحت نظر واحد ارتباطات مرکزی دبیرخانه شهرداری هلسینکی می باشد,infopankki
the contact information for the infofinland editorial team,اطلاعات تماس مرکز فعالیت,infopankki
email infofinlandathelfi,پست الکترونیکی,infopankki
we are happy to receive feedback and ideas for improvement related to infofinland operations translations and cooperation opportunities,از نظرات و پیشنهادات سازنده شما که در رابطه با فعالیت ترجمه های کتبی و امکانات همکاری می باشند با کمال میل استقبال می نماییم,infopankki
if you need information or advice in taking care of your personal affairs please contact your local officials directly,اگر برای رسیدگی به کارهای خود نیاز به کسب اطلاعات و راهنمایی دارید مستقیما با مقامات اداری تماس بگیرید,infopankki
contact information for various officials are collected on the infofinland page call and ask for advice,اطلاعات تماس مقامات اداری مختلف در سایت اینترنتی و در پیوند تماس تلفنی و کسب راهنمایی جمع اوری شده اند,infopankki
infofinland postal address,ادرس پستی,infopankki
the infofinland editorial team is a part of city of helsinki executive offices communications unit,مدیریت تحت نظر واحد ارتباطات مرکزی دبیرخانه شهرداری هلسینکی می باشد,infopankki
the contact information for the infofinland editorial team,اطلاعات تماس مرکز فعالیت,infopankki
email infofinlandathelfi,پست الکترونیکی,infopankki
we are happy to receive feedback and ideas for improvement related to infofinland operations translations and cooperation opportunities,از نظرات و پیشنهادات سازنده شما که در رابطه با فعالیت ترجمه های کتبی و امکانات همکاری می باشند با کمال میل استقبال می نماییم,infopankki
if you need information or advice in taking care of your personal affairs please contact your local officials directly,اگر برای رسیدگی به کارهای خود نیاز به کسب اطلاعات و راهنمایی دارید مستقیما با مقامات اداری تماس بگیرید,infopankki
contact information for various officials are collected on the infofinland page call and ask for advice,اطلاعات تماس مقامات اداری مختلف در سایت اینترنتی و در پیوند تماس تلفنی و کسب راهنمایی جمع اوری شده اند,infopankki
infofinland postal address,ادرس پستی,infopankki
the infofinland editorial team is a part of city of helsinki executive offices communications unit,مدیریت تحت نظر واحد ارتباطات مرکزی دبیرخانه شهرداری هلسینکی می باشد,infopankki
the contact information for the infofinland editorial team,اطلاعات تماس مرکز فعالیت,infopankki
email infofinlandathelfi,پست الکترونیکی,infopankki
we are happy to receive feedback and ideas for improvement related to infofinland operations translations and cooperation opportunities,از نظرات و پیشنهادات سازنده شما که در رابطه با فعالیت ترجمه های کتبی و امکانات همکاری می باشند با کمال میل استقبال می نماییم,infopankki
if you need information or advice in taking care of your personal affairs please contact your local officials directly,اگر برای رسیدگی به کارهای خود نیاز به کسب اطلاعات و راهنمایی دارید مستقیما با مقامات اداری تماس بگیرید,infopankki
contact information for various officials are collected on the infofinland page call and ask for advice,اطلاعات تماس مقامات اداری مختلف در سایت اینترنتی و در پیوند تماس تلفنی و کسب راهنمایی جمع اوری شده اند,infopankki
infofinland postal address,ادرس پستی,infopankki
